entry_time,exit_time,direction,entry,sl,tp,exit_price,outcome,score,risk_eur,pnl,balance,choch,ob,liq,fvg,pd,bos,sd
2025-10-23 02:15:00,2025-10-24 15:30:00,SHORT,1.16085,1.16285,1.15485,1.16285,LOSS,5,100.0,-100.0,9900.0,True,True,True,True,False,True,True
2025-10-24 23:45:00,2025-10-27 04:10:00,SHORT,1.16211,1.16411,1.15611,1.16411,LOSS,5,99.0,-99.0,9801.0,True,True,True,True,False,True,True
2025-11-10 02:10:00,2025-11-10 09:35:00,SHORT,1.15474,1.15674,1.14874,1.15674,LOSS,5,98.01,-98.01,9702.99,False,True,True,True,False,True,False
2025-11-10 09:40:00,2025-11-11 15:20:00,SHORT,1.15706,1.15906,1.15106,1.15906,LOSS,5,97.0299,-97.0299,9605.9601,True,True,True,True,True,True,True
2025-11-13 02:05:00,2025-11-13 09:50:00,SHORT,1.15889,1.16089,1.15289,1.16089,LOSS,5,96.059601,-96.059601,9509.900499,True,True,True,True,False,True,True
2025-11-14 09:05:00,2025-11-18 18:00:00,SHORT,1.16386,1.16586,1.15786,1.15786,WIN,5,95.09900499,285.29701496999996,9795.197513969999,True,False,True,True,False,True,False
2025-11-18 22:30:00,2025-11-19 21:05:00,SHORT,1.15829,1.16029,1.15229,1.15229,WIN,5,97.95197513969998,293.85592541909995,10089.0534393891,True,True,True,True,True,True,True
2025-11-20 10:45:00,2025-11-20 16:25:00,SHORT,1.15205,1.15405,1.14605,1.15405,LOSS,5,100.89053439389099,-100.89053439389099,9988.162904995208,False,True,True,True,True,True,False
2025-11-21 18:25:00,2025-11-21 23:15:00,SHORT,1.15003,1.15203,1.14403,1.15203,LOSS,5,99.88162904995208,-99.88162904995208,9888.281275945255,False,True,False,True,False,True,False
2025-11-24 00:10:00,2025-11-24 10:20:00,SHORT,1.15107,1.15307,1.14507,1.15307,LOSS,5,98.88281275945255,-98.88281275945255,9789.398463185802,True,True,True,True,False,True,True
2025-11-24 22:10:00,2025-11-25 14:40:00,SHORT,1.15247,1.15447,1.14647,1.15447,LOSS,5,97.89398463185802,-97.89398463185802,9691.504478553945,False,True,True,True,True,False,False
2026-02-24 21:30:00,2026-02-25 07:40:00,SHORT,1.17816,1.18016,1.17216,1.18016,LOSS,5,96.91504478553945,-96.91504478553945,9594.589433768406,False,True,False,True,True,True,False
2026-02-26 08:40:00,2026-03-02 00:15:00,SHORT,1.18187,1.18387,1.17587,1.17587,WIN,5,95.94589433768405,287.83768301305213,9882.427116781459,True,False,True,True,True,True,False
2026-03-02 17:40:00,2026-03-02 21:50:00,SHORT,1.16932,1.17132,1.16332,1.17132,LOSS,5,98.82427116781459,-98.82427116781459,9783.602845613645,False,True,True,True,False,True,True
2026-03-03 09:20:00,2026-03-03 11:35:00,SHORT,1.16674,1.1687400000000001,1.16074,1.16074,WIN,5,97.83602845613645,293.50808536840935,10077.110930982053,False,True,True,True,False,True,False
2026-03-04 19:50:00,2026-03-05 17:35:00,SHORT,1.16342,1.16542,1.15742,1.15742,WIN,5,100.77110930982053,302.3133279294616,10379.424258911515,True,True,True,True,True,True,False
2026-03-06 03:30:00,2026-03-06 16:05:00,SHORT,1.16073,1.16273,1.15473,1.15473,WIN,5,103.79424258911514,311.38272776734544,10690.806986678861,True,True,True,True,False,True,True
2026-03-06 16:10:00,2026-03-06 16:40:00,SHORT,1.15487,1.15687,1.14887,1.15687,LOSS,5,106.90806986678861,-106.90806986678861,10583.898916812072,True,True,True,True,False,True,True
2026-03-06 21:20:00,2026-03-09 00:05:00,SHORT,1.16089,1.16289,1.15489,1.15489,WIN,5,105.83898916812072,317.5169675043621,10901.415884316433,True,True,True,True,True,True,False
2026-03-10 12:45:00,2026-03-11 12:00:00,SHORT,1.16581,1.16781,1.15981,1.15981,WIN,5,109.01415884316434,327.042476529493,11228.458360845927,False,False,True,True,True,True,False
2026-03-12 08:05:00,2026-03-12 12:30:00,SHORT,1.15376,1.15576,1.14776,1.15576,LOSS,5,112.28458360845927,-112.28458360845927,11116.173777237467,False,True,True,True,False,True,True
2026-03-13 17:35:00,2026-03-13 22:50:00,SHORT,1.14807,1.15007,1.14207,1.14207,WIN,5,111.16173777237468,333.485213317124,11449.658990554592,True,True,True,True,True,True,False
2026-03-16 19:30:00,2026-03-16 19:50:00,SHORT,1.14793,1.14993,1.14193,1.14993,LOSS,5,114.49658990554592,-114.49658990554592,11335.162400649046,True,True,True,True,False,True,True
2026-03-16 20:05:00,2026-03-16 21:25:00,SHORT,1.14986,1.15186,1.14386,1.15186,LOSS,5,113.35162400649045,-113.35162400649045,11221.810776642555,True,True,True,True,True,True,True
2026-03-17 04:20:00,2026-03-17 11:40:00,SHORT,1.14874,1.15074,1.14274,1.15074,LOSS,5,112.21810776642555,-112.21810776642555,11109.592668876128,False,True,True,True,False,True,True
2026-03-18 14:45:00,2026-03-18 21:55:00,SHORT,1.15436,1.15636,1.14836,1.14836,WIN,5,111.09592668876128,333.28778006628386,11442.880448942413,True,True,True,True,True,True,False
2026-03-18 22:00:00,2026-03-19 16:15:00,SHORT,1.14772,1.14972,1.14172,1.14972,LOSS,5,114.42880448942412,-114.42880448942412,11328.451644452989,False,False,True,True,False,True,False
2026-03-20 01:05:00,2026-03-20 17:15:00,SHORT,1.15924,1.16124,1.15324,1.15324,WIN,5,113.28451644452988,339.8535493335896,11668.305193786578,False,True,True,True,True,True,True
2026-03-20 21:25:00,2026-03-23 12:50:00,SHORT,1.15524,1.15724,1.14924,1.14924,WIN,5,116.68305193786578,350.04915581359734,12018.354349600177,True,True,True,True,True,True,True
2026-03-24 16:15:00,2026-03-24 17:50:00,SHORT,1.1577,1.1597,1.1517,1.1597,LOSS,5,120.18354349600176,-120.18354349600176,11898.170806104175,True,True,True,True,False,True,True
2026-03-25 15:25:00,2026-03-26 14:40:00,SHORT,1.15939,1.16139,1.15339,1.15339,WIN,5,118.98170806104176,356.94512418312524,12255.1159302873,False,True,True,True,False,True,True
2026-03-26 23:25:00,2026-03-30 15:15:00,SHORT,1.15349,1.15549,1.14749,1.14749,WIN,5,122.551159302873,367.65347790861904,12622.76940819592,False,True,True,True,False,True,False
2026-03-30 15:20:00,2026-03-31 15:05:00,SHORT,1.14811,1.15011,1.14211,1.15011,LOSS,5,126.2276940819592,-126.2276940819592,12496.54171411396,False,True,True,True,False,True,True
2026-03-31 21:15:00,2026-04-01 02:50:00,SHORT,1.15482,1.15682,1.14882,1.15682,LOSS,5,124.96541714113961,-124.96541714113961,12371.57629697282,False,True,True,True,True,True,False
2026-04-01 15:55:00,2026-04-01 17:50:00,SHORT,1.16063,1.16263,1.15463,1.16263,LOSS,5,123.7157629697282,-123.7157629697282,12247.860534003092,True,True,True,True,True,True,False
2026-04-01 20:35:00,2026-04-02 06:55:00,SHORT,1.15998,1.16198,1.15398,1.15398,WIN,5,51.318819889132186,153.95645966739656,12401.816993670489,False,True,True,True,False,True,True
2026-05-11 09:25:00,2026-05-11 11:15:00,SHORT,1.17571,1.17771,1.16971,1.17771,LOSS,5,124.0181699367049,-124.0181699367049,12277.798823733785,False,True,True,True,False,True,False
2026-05-11 18:35:00,2026-05-12 18:25:00,SHORT,1.17815,1.18015,1.17215,1.17215,WIN,5,122.77798823733785,368.33396471201354,12646.132788445799,True,True,True,True,True,True,False
2026-05-12 18:45:00,2026-05-14 19:30:00,SHORT,1.17315,1.17515,1.16715,1.16715,WIN,5,126.46132788445799,379.38398365337395,13025.516772099172,True,True,True,True,False,True,False
2026-05-15 16:15:00,2026-05-18 14:40:00,SHORT,1.16288,1.16488,1.15688,1.16488,LOSS,5,130.25516772099172,-130.25516772099172,12895.26160437818,False,True,False,True,False,True,True
2026-05-18 22:10:00,2026-05-20 11:10:00,SHORT,1.16476,1.16676,1.15876,1.15876,WIN,5,128.9526160437818,386.8578481313454,13282.119452509525,False,True,True,True,True,True,True
2026-05-21 09:45:00,2026-05-25 00:05:00,SHORT,1.16172,1.16372,1.15572,1.16372,LOSS,5,132.82119452509525,-132.82119452509525,13149.29825798443,False,True,True,True,False,True,True
2026-05-25 04:00:00,2026-05-27 15:20:00,SHORT,1.16367,1.16567,1.15767,1.16567,LOSS,5,131.4929825798443,-131.4929825798443,13017.805275404586,True,True,True,True,True,True,True
2026-05-27 16:30:00,2026-05-28 19:20:00,SHORT,1.16409,1.16609,1.15809,1.16609,LOSS,5,130.17805275404586,-130.17805275404586,12887.62722265054,True,True,True,True,False,True,True
2026-05-29 03:40:00,2026-05-29 17:55:00,SHORT,1.16503,1.16703,1.15903,1.16703,LOSS,5,128.87627222650542,-128.87627222650542,12758.750950424035,True,True,True,True,False,True,True
2026-05-29 18:00:00,2026-06-01 16:55:00,SHORT,1.16689,1.16889,1.16089,1.16089,WIN,5,127.58750950424036,382.7625285127211,13141.513478936757,True,True,True,True,True,True,True
2026-06-02 03:10:00,2026-06-02 09:30:00,SHORT,1.16303,1.16503,1.15703,1.16503,LOSS,5,131.41513478936756,-131.41513478936756,13010.098344147389,True,True,True,True,False,True,True
2026-06-02 11:55:00,2026-06-05 16:00:00,SHORT,1.1644,1.1664,1.1584,1.1584,WIN,5,130.1009834414739,390.30295032442166,13400.40129447181,True,True,True,True,False,True,True
2026-06-05 16:05:00,2026-06-05 18:55:00,SHORT,1.15918,1.16118,1.15318,1.15318,WIN,6,134.0040129447181,402.01203883415434,13802.413333305965,False,True,True,True,False,True,True
2026-06-08 01:30:00,2026-06-08 04:00:00,SHORT,1.15137,1.15337,1.14537,1.15337,LOSS,5,138.02413333305967,-138.02413333305967,13664.389199972906,False,True,True,True,False,True,True
2026-06-09 17:00:00,2026-06-11 20:00:00,SHORT,1.15664,1.15864,1.1506399999999999,1.1506399999999999,WIN,5,136.64389199972905,409.9316759991872,14074.320875972093,True,True,True,True,False,True,False
2026-06-12 03:05:00,2026-06-12 12:25:00,SHORT,1.15693,1.15893,1.15093,1.15893,LOSS,5,140.74320875972091,-140.74320875972091,13933.577667212372,False,True,True,True,False,True,True
2026-06-12 15:05:00,2026-06-15 00:25:00,SHORT,1.15698,1.15898,1.15098,1.15898,LOSS,5,139.33577667212373,-139.33577667212373,13794.241890540248,True,False,True,True,False,True,False
2026-06-15 03:50:00,2026-06-17 21:10:00,SHORT,1.16038,1.16238,1.15438,1.15438,WIN,5,137.9424189054025,413.82725671620744,14208.069147256456,False,False,True,True,True,True,False
2026-06-17 21:15:00,2026-06-17 21:30:00,SHORT,1.15448,1.15648,1.14848,1.15648,LOSS,5,142.08069147256455,-142.08069147256455,14065.98845578389,False,True,True,True,False,True,True
2026-06-17 21:35:00,2026-06-17 21:35:00,SHORT,1.15361,1.15561,1.14761,1.15561,LOSS,5,140.6598845578389,-140.6598845578389,13925.328571226051,False,True,True,True,False,True,True
2026-06-17 21:40:00,2026-06-17 22:30:00,SHORT,1.15534,1.15734,1.14934,1.14934,WIN,5,139.25328571226052,417.75985713678153,14343.088428362833,False,True,True,True,False,True,True
2026-06-18 09:45:00,2026-06-18 13:05:00,SHORT,1.15255,1.15455,1.14655,1.14655,WIN,5,143.43088428362833,430.292652850885,14773.381081213718,False,True,True,True,True,True,False
2026-06-19 20:00:00,2026-06-23 11:15:00,SHORT,1.14692,1.14892,1.14092,1.14092,WIN,5,147.7338108121372,443.20143243641155,15216.58251365013,False,True,True,True,True,True,False
2026-06-23 11:20:00,2026-06-24 11:10:00,SHORT,1.14083,1.14283,1.13483,1.13483,WIN,5,152.1658251365013,456.49747540950386,15673.079989059634,True,True,True,True,False,True,True
