min_score,sl_pips,rr,trades,win_rate,profit_factor,max_dd_pct,max_dd_abs,return_pct,net_pnl,sharpe,ftmo_ok,reason
4,5.0,2.0,24,20.8,0.324,10.81,1081.09,-10.81,-1081.09,-8.31,False,DD 10.8%
4,5.0,2.5,28,17.9,0.489,10.07,1007.11,-10.07,-1007.11,-5.0,False,DD 10.1%
4,5.0,3.0,36,19.4,0.594,10.31,1031.15,-10.31,-1031.15,-3.5,False,DD 10.3%
4,8.0,2.0,31,22.6,0.468,10.89,1089.04,-10.89,-1089.04,-5.42,False,DD 10.9%
4,8.0,2.5,36,19.4,0.568,10.71,1071.35,-10.71,-1071.35,-3.91,False,DD 10.7%
4,8.0,3.0,27,14.8,0.441,10.89,1089.06,-10.89,-1089.06,-5.38,False,DD 10.9%
4,10.0,2.0,28,21.4,0.424,10.86,1086.38,-10.86,-1086.38,-6.18,False,DD 10.9%
4,10.0,2.5,26,19.2,0.414,10.89,1089.07,-10.89,-1089.07,-6.22,False,DD 10.9%
4,10.0,3.0,25,20.0,0.379,10.85,1085.45,-10.85,-1085.45,-6.49,False,DD 10.8%
4,12.0,2.0,28,21.4,0.431,10.87,1086.58,-10.87,-1086.58,-6.12,False,DD 10.9%
4,12.0,2.5,27,18.5,0.466,10.83,1087.68,-10.42,-1041.66,-5.49,False,DD 10.8%
4,12.0,3.0,20,15.0,0.282,10.75,1074.89,-10.75,-1074.89,-9.04,False,DD 10.8%
4,15.0,2.0,23,21.7,0.376,11.47,1157.98,-10.6,-1059.98,-7.4,False,DD 11.5%
4,15.0,2.5,13,7.7,0.028,10.21,1021.08,-10.21,-1021.08,-31.32,False,DD 10.2%
4,15.0,3.0,13,0.0,0.0,10.61,1060.69,-10.61,-1060.69,-40.74,False,DD 10.6%
4,20.0,2.0,13,0.0,0.0,10.61,1060.69,-10.61,-1060.69,-40.74,False,DD 10.6%
4,20.0,2.5,13,0.0,0.0,10.61,1060.69,-10.61,-1060.69,-40.74,False,DD 10.6%
4,20.0,3.0,13,0.0,0.0,10.61,1060.69,-10.61,-1060.69,-40.74,False,DD 10.6%
5,5.0,2.0,90,31.1,0.933,11.21,1215.3,-3.78,-377.82,-0.51,False,DD 11.2%
5,5.0,2.5,24,12.5,0.406,10.36,1035.75,-10.36,-1035.75,-6.26,False,DD 10.4%
5,5.0,3.0,26,11.5,0.441,10.81,1080.69,-10.81,-1080.69,-5.44,False,DD 10.8%
5,8.0,2.0,74,33.8,0.913,8.53,894.45,-4.1,-410.04,-0.66,True,ok
5,8.0,2.5,31,19.4,0.541,10.04,1004.14,-10.04,-1004.14,-4.27,False,DD 10.0%
5,8.0,3.0,37,18.9,0.629,10.8,1088.75,-10.09,-1008.78,-3.12,False,DD 10.8%
5,10.0,2.0,66,28.8,0.752,10.13,1013.11,-10.13,-1013.11,-2.04,False,DD 10.1%
5,10.0,2.5,20,15.0,0.318,10.24,1024.03,-10.24,-1024.03,-8.17,False,DD 10.2%
5,10.0,3.0,20,15.0,0.354,10.49,1048.95,-10.49,-1048.95,-7.3,False,DD 10.5%
5,12.0,2.0,58,32.8,1.008,8.02,801.84,0.29,29.1,0.06,True,ok
5,12.0,2.5,56,30.4,1.11,8.33,844.28,4.2,420.05,0.74,True,ok
5,12.0,3.0,11,0.0,0.0,10.47,1046.62,-10.47,-1046.62,-499.54,False,DD 10.5%
5,15.0,2.0,54,31.5,0.929,7.7,813.12,-2.59,-258.83,-0.55,True,ok
5,15.0,2.5,11,0.0,0.0,10.47,1046.62,-10.47,-1046.62,-499.54,False,DD 10.5%
5,15.0,3.0,11,0.0,0.0,10.47,1046.62,-10.47,-1046.62,-499.54,False,DD 10.5%
5,20.0,2.0,42,28.6,0.806,9.79,979.35,-5.51,-551.04,-1.61,True,ok
5,20.0,2.5,40,25.0,0.838,9.79,979.35,-4.6,-460.07,-1.26,True,ok
5,20.0,3.0,38,23.7,0.929,9.79,979.35,-1.98,-197.96,-0.5,True,ok
6,5.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,5.0,2.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,5.0,3.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (6<10)
6,8.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,8.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,8.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,10.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,10.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,10.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,12.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,12.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,12.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,2.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,2.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,15.0,3.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (5<10)
6,20.0,2.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
6,20.0,2.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
6,20.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,pocos trades (4<10)
7,5.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,5.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,5.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,8.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,10.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,12.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,15.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
7,20.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,sin señales
